;Activity;Hour
191;lunch_Retiree;12.45
192;workout_Retiree;16.0
193;dinner_Retiree;19.466666666666665
194;sleep_Retiree;23.416666666666668
195;workout_Retiree;10.0
196;lunch_Retiree;12.6
197;dinner_Retiree;19.033333333333335
198;sleep_Retiree;22.016666666666666
199;workout_Retiree;8.0
200;breakfast_Retiree;9.083333333333334
201;lunch_Retiree;13.683333333333334
202;workout_Retiree;15.0
203;workout_Retiree;17.0
204;dinner_Retiree;19.6
205;sleep_Retiree;23.066666666666666
206;breakfast_Retiree;8.9
207;workout_Retiree;10.0
208;lunch_Retiree;13.066666666666666
209;workout_Retiree;17.0
210;dinner_Retiree;18.45
211;sleep_Retiree;22.483333333333334
212;workout_Retiree;9.0
213;breakfast_Retiree;9.45
214;lunch_Retiree;12.066666666666666
215;dinner_Retiree;18.25
216;sleep_Retiree;22.65
217;breakfast_Retiree;8.266666666666667
218;lunch_Retiree;12.283333333333333
219;workout_Retiree;15.0
220;dinner_Retiree;18.733333333333334
221;sleep_Retiree;22.116666666666667
222;workout_Retiree;8.0
223;breakfast_Retiree;9.15
224;lunch_Retiree;12.233333333333333
225;dinner_Retiree;18.166666666666668
226;sleep_Retiree;22.65
227;breakfast_Retiree;9.65
228;workout_Retiree;11.0
229;lunch_Retiree;13.816666666666666
230;dinner_Retiree;19.1
231;workout_Retiree;21.0
232;sleep_Retiree;22.6
233;breakfast_Retiree;8.6
234;workout_Retiree;10.0
235;lunch_Retiree;13.116666666666667
236;dinner_Retiree;18.583333333333332
237;sleep_Retiree;22.9
238;workout_Retiree;8.0
239;breakfast_Retiree;9.783333333333333
240;lunch_Retiree;13.0
241;dinner_Retiree;19.45
242;sleep_Retiree;23.0
243;workout_Retiree;9.0
244;workout_Retiree;11.0
245;lunch_Retiree;13.216666666666667
246;dinner_Retiree;18.766666666666666
247;sleep_Retiree;22.95
248;breakfast_Retiree;8.616666666666667
249;workout_Retiree;10.0
250;lunch_Retiree;12.016666666666667
251;dinner_Retiree;19.816666666666666
252;sleep_Retiree;22.483333333333334
253;lunch_Retiree;12.216666666666667
254;workout_Retiree;17.0
255;dinner_Retiree;18.616666666666667
256;sleep_Retiree;22.833333333333332
257;workout_Retiree;8.0
258;breakfast_Retiree;8.583333333333334
259;workout_Retiree;10.0
260;lunch_Retiree;13.65
261;dinner_Retiree;19.7
262;sleep_Retiree;22.916666666666668
263;workout_Retiree;9.0
264;lunch_Retiree;13.25
265;workout_Retiree;17.0
266;dinner_Retiree;18.233333333333334
267;sleep_Retiree;22.45
268;breakfast_Retiree;9.983333333333333
269;workout_Retiree;12.0
270;lunch_Retiree;13.266666666666667
271;dinner_Retiree;19.066666666666666
272;sleep_Retiree;23.216666666666665
273;workout_Retiree;9.0
274;breakfast_Retiree;9.883333333333333
275;lunch_Retiree;12.816666666666666
276;dinner_Retiree;19.983333333333334
277;sleep_Retiree;23.066666666666666
